"","imputed_IND","imputed_OCC"
"1612","412","17"
"1613","242","856"
"1614","772","458"
"1615","850","313"
"1616","11","473"
"1617","11","473"
"1618","101","804"
"1619","831","449"
"1620","601","276"
"1621","850","585"
"1622","230","496"
"1623","160","769"
"1624","160","799"
"1625","641","435"
"1626","320","19"
"1627","60","579"
"1628","770","468"
"1629","342","64"
"1630","641","434"
"1631","701","313"
"1632","401","459"
"1633","840","95"
"1634","342","55"
"1635","922","5"
"1636","842","14"
"1637","700","383"
"1638","761","406"
"1639","850","64"
"1640","842","387"
"1641","850","128"
"1642","371","547"
"1643","762","444"
"1644","881","434"
"1645","850","748"
"1646","831","449"
"1647","321","889"
"1648","762","449"
"1649","670","806"
"1650","842","157"
"1651","10","479"
"1652","842","444"
"1653","60","453"
"1654","362","723"
