"","ind_70_final","ind_80","occ_70_final","occ_80"
"105040",839,832,916,433
"5706",839,832,372,313
"86468",718,712,270,254
"63314",609,591,283,264
"11965",69,60,751,869
"44270",357,181,303,339
"118790",888,882,372,313
"114913",858,850,140,154
"30667",228,360,245,19
"31751",247,372,902,453
"39185",319,151,245,19
"52284",447,440,153,213
"11850",69,60,510,579
"45458",378,201,706,856
"58274",537,521,303,339
"102439",838,831,75,95
"8423",68,60,305,337
"24844",207,341,492,547
"60327",587,532,245,19
"16433",139,270,11,53
"108073",857,842,142,156
"50254",417,410,705,805
"101251",838,831,75,95
"83688",708,702,313,378
"97133",789,782,395,379
"47086",158,282,441,633
"71483",648,621,915,435
"74821",669,641,915,438
"62308",609,591,283,274
"68073",628,601,310,276
"11484",69,60,510,579
"46289",387,212,602,785
"109306",857,842,143,155
"114053",858,850,372,313
"15493",119,250,610,796
"62277",609,591,323,363
"104352",838,831,75,95
"52734",448,441,552,529
"88358",729,730,12,55
"17614",147,271,461,637
"63149",609,591,903,453
"77812",669,641,915,435
"3554",17,11,822,479
"11079",69,60,410,563
"19892",168,300,154,214
"93666",769,761,980,406
"91937",769,761,942,468
"60652",587,501,420,566
"90804",757,751,473,505
"25365",208,342,665,784
"35300",289,120,610,796
"49616",417,410,753,883
"79763",687,660,245,19
"54737",468,462,285,259
"120854",907,412,361,354
"33310",259,391,692,777
"44909",369,192,45,73
"25254",207,341,55,65
"12758",77,60,436,853
"109333",857,842,240,14
"29434",227,352,535,653
"126115",937,910,961,417
"50731",417,410,245,19
"54636",467,460,510,579
"21337",158,282,680,783
"89746",748,742,780,889
"57061",527,550,694,889
"110155",857,842,142,156
"90749",757,751,473,505
"20878",178,311,692,777
"110557",857,842,142,156
"90986",757,751,473,505
"91281",759,760,780,889
"67090",628,601,283,274
"24810",207,341,441,307
"16677",139,270,312,303
"99748",829,820,62,85
"41531",338,171,305,337
"23355",197,331,650,777
"94897",778,770,245,469
"26988",208,342,364,319
"17831",147,271,651,644
"40657",329,161,441,633
"56940",527,550,705,806
"4753",47,40,640,617
"93436",769,761,984,407
"112044",857,842,903,453
"122350",917,932,333,357
"15011",118,242,610,796
"15082",118,242,281,259
"72655",609,591,283,264
"110250",857,842,144,157
"34859",297,121,225,33
"71191",648,621,305,337
"65410",627,600,283,274
"107627",857,842,142,156
"46446",387,212,706,856
"66983",628,601,310,276
"16748",139,270,533,707
"75256",669,641,283,276
"119924",897,892,190,188
"86206",717,711,391,315
"109935",857,842,240,14
"71277",648,621,245,243
"8175",68,60,715,804
"90951",757,751,305,337
"108350",857,842,372,313
"36895",317,142,162,225
"114626",858,850,903,453
"67517",628,601,631,686
"89068",739,740,372,313
"3705",17,11,822,479
"39442",319,151,663,744
"19418",159,290,461,637
"85878",717,711,265,253
"28713",219,351,602,785
"121710",917,932,55,65
"1415",17,11,801,473
"109875",857,842,142,156
"95085",779,771,630,748
"65961",628,601,231,243
"17147",139,270,622,766
"126561",937,910,964,418
"106971",857,842,144,157
"24076",199,340,602,785
"61336",607,580,245,633
"8583",68,60,751,869
"9945",69,60,522,585
"62095",609,591,283,265
"114180",858,850,305,337
"70614",647,620,705,805
"104253",838,831,925,447
"58037",529,512,245,19
"44892",369,192,374,364
"126147",937,910,962,424
"57009",527,550,220,19
"24895",207,341,441,633
"26803",189,322,12,55
"39166",319,151,663,744
"65451",627,661,283,274
